--------------------
BDMEP - INMET
--------------------
Estação           : MANAUS - AM (OMM: 82331)
Latitude  (graus) : -3.1
Longitude (graus) : -60.01
Altitude  (metros): 61.25
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/1998 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82331;21/03/1998;0000;25.6;25;95;1005.1;0;0;4;
82331;21/03/1998;1200;26;25;92;1006.8;0;0;8;
82331;21/03/1998;1800;27.8;26.4;90;1004.5;36;3;10;
82331;22/03/1998;0000;26.8;26;94;1004.6;0;0;8;
82331;22/03/1998;1200;24.6;24;95;1007.5;5;2;10;
82331;22/03/1998;1800;28.8;26.8;86;1004.4;0;0;10;
82331;23/03/1998;0000;27.2;26.2;92;1004.5;0;0;10;
82331;23/03/1998;1200;27;26.2;94;1008.4;9;2;10;
82331;23/03/1998;1800;32;26.8;67;1005.3;5;2;6;
82331;24/03/1998;0000;28.8;26.2;81;1004.7;5;2;4;
82331;24/03/1998;1200;26.6;25.6;92;1008.2;5;1;10;
82331;24/03/1998;1800;30.4;28.2;85;1005;0;0;8;
82331;25/03/1998;0000;24.4;23.8;95;1006.2;0;0;10;
82331;25/03/1998;1200;26;25.2;94;1009.5;0;0;10;
82331;25/03/1998;1800;28.8;27;87;1006.5;0;0;6;
82331;26/03/1998;0000;24.8;24.2;95;1007.7;0;0;10;
82331;26/03/1998;1200;25.2;24.6;95;1009.1;0;0;10;
82331;26/03/1998;1800;31.2;27;72;1006.8;36;2;8;
82331;27/03/1998;0000;25.8;25;94;1005.7;0;0;10;
82331;27/03/1998;1200;27.2;25.6;88;1007;5;2;4;
82331;27/03/1998;1800;32;27.4;70;1003.6;9;2;6;
82331;28/03/1998;0000;28.2;26.2;85;1003.5;0;0;4;
82331;28/03/1998;1200;27.6;25.4;84;1006.6;5;3;8;
82331;28/03/1998;1800;31.6;28.4;79;1003.5;0;0;8;
82331;29/03/1998;0000;25.2;24;91;1003.2;0;0;0;
82331;29/03/1998;1200;29;26.8;84;1008;0;0;8;
82331;29/03/1998;1800;33.2;27.8;66;1003.1;0;0;6;
82331;30/03/1998;0000;30;27;79;1003.4;0;0;0;
82331;30/03/1998;1200;27.6;26.6;92;1006;0;0;10;
82331;30/03/1998;1800;31.6;28;76;1002.7;5;2;10;
82331;31/03/1998;0000;27.2;25.8;89;1003.7;0;0;10;
82331;31/03/1998;1200;27.2;26.6;95;1008.2;0;0;10;
82331;31/03/1998;1800;30;27;79;1003.7;0;0;10;
82331;01/04/1998;0000;26.8;26;94;1004.6;0;0;8;
82331;01/04/1998;1200;28;26.8;91;1009.6;0;0;8;
82331;01/04/1998;1800;33.2;27.4;64;1004.7;5;2;8;
82331;02/04/1998;0000;29.8;27.8;86;1005;0;0;0;
82331;02/04/1998;1200;24.8;24.6;98;1008.7;0;0;10;
82331;02/04/1998;1800;26.6;26;95;1006.9;0;0;10;
82331;03/04/1998;0000;26.6;26;95;1005.7;0;0;0;
82331;03/04/1998;1200;26.4;26;97;1008;0;0;10;
82331;03/04/1998;1800;27.4;26.2;91;1005.4;0;0;10;
82331;04/04/1998;0000;26.4;26;97;1006.6;0;0;6;
82331;04/04/1998;1200;25;24.6;97;1008.2;0;0;10;
82331;04/04/1998;1800;26;25.2;94;1005.8;0;0;10;
82331;05/04/1998;0000;25.8;25.2;95;1006;0;0;10;
82331;05/04/1998;1200;25.4;24.4;92;1008.8;0;0;10;
82331;05/04/1998;1800;26;25.2;94;1006.2;0;0;10;
82331;06/04/1998;0000;25;24.6;97;1006.4;0;0;0;
82331;06/04/1998;1200;26.4;25.4;92;996.5;0;0;10;
82331;06/04/1998;1800;31.2;28.6;82;1003.7;0;0;8;
82331;07/04/1998;0000;28.2;27.2;93;1003.8;0;0;0;
82331;07/04/1998;1200;28.6;26.6;86;1007.4;0;0;8;
82331;07/04/1998;1800;33;28.8;73;1005;0;0;6;
82331;08/04/1998;0000;27.6;25.6;85;1004.9;5;2;10;
82331;08/04/1998;1200;27.6;26.6;92;1007.8;0;0;6;
82331;08/04/1998;1800;33.3;28.8;72;1005;9;2;6;
82331;09/04/1998;0000;27.8;25.4;83;1005.5;36;2;6;
82331;09/04/1998;1200;27;25.4;88;1008.3;0;0;8;
82331;09/04/1998;1800;33;28.8;73;1004.6;0;0;8;
82331;10/04/1998;0000;28.6;26.8;87;1003.4;0;0;0;
82331;10/04/1998;1200;25.2;25;98;1006.2;0;0;10;
82331;10/04/1998;1800;24;23.6;97;1006.9;0;0;10;
82331;11/04/1998;0000;24.4;24;97;1005.5;0;0;0;
82331;11/04/1998;1200;25.6;25;95;1007.2;0;0;10;
82331;11/04/1998;1800;25.8;25;94;1006;0;0;10;
82331;12/04/1998;0000;25.8;25.4;97;1004.6;0;0;6;
82331;12/04/1998;1200;26.4;25.6;94;1007.4;0;0;10;
82331;12/04/1998;1800;24.6;24.2;97;1006.1;0;0;10;
82331;13/04/1998;0000;26;25.2;94;1005.8;0;0;0;
82331;13/04/1998;1200;25.6;25.2;97;1007.4;0;0;10;
82331;13/04/1998;1800;31;28.6;84;1004.6;9;2;8;
82331;14/04/1998;0000;27.4;26.4;92;1004.6;0;0;0;
82331;14/04/1998;1200;27.6;26.6;92;1007.2;0;0;8;
82331;14/04/1998;1800;25.4;24.8;95;1006.4;36;2;10;
82331;15/04/1998;0000;25.6;24.6;92;1004.5;0;0;0;
82331;15/04/1998;1200;26.2;25.6;95;1006.9;0;0;10;
82331;15/04/1998;1800;24;23.6;97;1004.1;0;0;10;
82331;16/04/1998;0000;25;24.8;98;1003.9;0;0;10;
82331;16/04/1998;1200;26;25.4;95;1006.5;0;0;8;
82331;16/04/1998;1800;31.2;27.4;75;1005.2;9;2;8;
82331;17/04/1998;0000;28.4;26.8;88;1004.4;0;0;0;
82331;17/04/1998;1200;28.6;26.6;86;1007.2;0;0;5;
82331;17/04/1998;1800;25;24.4;95;1005.9;0;0;10;
82331;18/04/1998;0000;25.8;25.2;95;1004.8;0;0;0;
82331;18/04/1998;1200;27.2;25.8;89;1006.4;0;0;10;
82331;18/04/1998;1800;28.8;27;87;1004.2;18;2;8;
82331;19/04/1998;0000;26.4;25.4;92;1004.4;0;0;0;
82331;19/04/1998;1200;24.4;23.8;95;1006;0;0;10;
82331;19/04/1998;1800;24.6;24.2;97;1004.5;0;0;10;
82331;20/04/1998;0000;24.8;24.6;98;1003.9;0;0;10;
82331;20/04/1998;1200;26.6;25.4;91;1006.9;0;0;8;
82331;20/04/1998;1800;27;26.8;98;1004.6;36;2;10;
82331;21/04/1998;0000;26;25;92;996.9;0;0;0;
82331;21/04/1998;1200;27;26;92;1008.4;0;0;8;
82331;21/04/1998;1800;29.6;28;89;1004.1;32;2;10;
82331;22/04/1998;0000;26.4;25.8;95;1006;0;0;10;
82331;22/04/1998;1200;26;25.6;97;1009;0;0;10;
82331;22/04/1998;1800;25.6;25.2;97;1006.3;0;0;10;
82331;23/04/1998;0000;25.6;25;95;1006.4;0;0;0;
82331;23/04/1998;1200;26.4;26;97;1007.5;0;0;10;
82331;23/04/1998;1800;32;28;74;1007.1;9;2;6;
82331;24/04/1998;0000;27.2;26.4;94;1004.7;0;0;0;
82331;24/04/1998;1200;29.8;27.4;83;1008;0;0;8;
82331;24/04/1998;1800;33.3;28.8;72;1003.5;9;2;8;
82331;25/04/1998;0000;26.4;25.4;92;1004.6;0;0;8;
82331;25/04/1998;1200;24.8;24.6;98;1008.5;0;0;10;
82331;25/04/1998;1800;26.2;25.4;94;1005.4;0;0;10;
82331;26/04/1998;0000;25.6;25;95;1006.4;0;0;6;
82331;26/04/1998;1200;26.4;25.5;93;1007.4;0;0;10;
82331;26/04/1998;1800;29.4;26.8;82;1004.9;0;0;8;
82331;27/04/1998;0000;26.4;26;97;1005.4;0;0;0;
82331;27/04/1998;1200;27;25.6;89;1006.1;0;0;8;
82331;27/04/1998;1800;32.2;28.8;78;1004.9;9;2;8;
82331;28/04/1998;0000;27.6;26;88;1003.4;0;0;4;
82331;28/04/1998;1200;26.6;26;95;1007.3;0;0;8;
82331;28/04/1998;1800;29.6;27.4;84;1003.4;36;2;8;
82331;29/04/1998;0000;28.6;26.8;87;1004.7;0;0;6;
82331;29/04/1998;1200;27.4;27;97;1005.7;0;0;8;
82331;29/04/1998;1800;32.6;28.4;73;1004.8;9;2;6;
82331;30/04/1998;0000;28.6;27.4;91;1005.3;0;0;0;
82331;30/04/1998;1200;26.8;25.8;92;1008;0;0;10;
82331;30/04/1998;1800;30;27.6;83;1004.2;0;0;10;
82331;01/05/1998;0000;27;26.4;95;1005.3;0;0;10;
82331;01/05/1998;1200;26.6;25.8;94;1007.8;0;0;10;
82331;01/05/1998;1800;27.6;26.8;94;1003.8;0;0;10;
82331;02/05/1998;0000;25;24.6;97;1006.2;0;0;10;
82331;02/05/1998;1200;25.2;24.8;97;1006.1;0;0;10;
82331;02/05/1998;1800;29;27.4;88;1004.6;0;0;10;
82331;03/05/1998;0000;26.4;26;97;1006.1;0;0;10;
