--------------------
BDMEP - INMET
--------------------
Estação           : SAO LUIS - MA (OMM: 82280)
Latitude  (graus) : -2.53
Longitude (graus) : -44.21
Altitude  (metros): 50.86
Estação Operante
Inicio de operação: 18/11/1924
Periodo solicitado dos dados: 01/01/1998 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82280;07/04/1998;1200;30;26;73;1004.5;;;3;
82280;07/04/1998;1800;33;27;63;1002.3;;;2;
82280;08/04/1998;0000;27.6;26;88;1004.2;;;0;
82280;08/04/1998;1200;30;26;73;1005.3;;;5;
82280;08/04/1998;1800;27.6;25.6;85;1002.6;;;8;
82280;09/04/1998;0000;26.8;26;94;1005.5;;;9;
82280;09/04/1998;1200;29;26.6;83;1004.5;;;10;
82280;09/04/1998;1800;24.4;24.2;98;1002.7;;;10;
82280;10/04/1998;0000;25.4;25;97;1002.7;;;6;
82280;10/04/1998;1200;29;27;86;1003.9;;;7;
82280;10/04/1998;1800;27.2;25.2;85;1000.7;;;9;
82280;11/04/1998;0000;26.8;25.8;92;1003;;;10;
82280;11/04/1998;1200;29.8;26;74;1004.5;;;6;
82280;11/04/1998;1800;30.6;26.8;74;1001.6;;;8;
82280;12/04/1998;0000;27;25.6;89;1002.9;;;5;
82280;12/04/1998;1200;29.6;26;75;1004.9;;;6;
82280;12/04/1998;1800;30.3;26.8;76;1002.1;;;7;
82280;13/04/1998;0000;25.8;24.8;92;1003.8;;;1;
82280;13/04/1998;1200;29.2;26.8;83;1005.5;;;6;
82280;13/04/1998;1800;26.2;24.8;89;1002.7;;;8;
82280;14/04/1998;0000;25.6;25.2;97;1004.9;;;8;
82280;14/04/1998;1200;29;26;79;1004.6;;;8;
82280;14/04/1998;1800;27;25;85;1001.5;;;10;
82280;15/04/1998;0000;26.4;25.8;95;1002.9;;;6;
82280;15/04/1998;1200;29;26;79;1003.6;;;10;
82280;15/04/1998;1800;29;26.6;83;1001.3;;;10;
82280;16/04/1998;0000;26.2;25.2;92;1002.8;;;6;
82280;16/04/1998;1200;29;26.8;84;1005.1;;;6;
82280;16/04/1998;1800;27.1;25.4;87;1002.7;;;10;
82280;17/04/1998;0000;26.2;25.6;95;1004.9;;;8;
82280;17/04/1998;1200;29.8;26;74;1004.7;;;6;
82280;17/04/1998;1800;31.8;27;69;1002.9;;;6;
82280;18/04/1998;0000;27.2;25.4;87;1004.5;;;0;
82280;18/04/1998;1200;30;26;73;1004.7;;;5;
82280;18/04/1998;1800;31.6;27;70;1001.6;;;6;
82280;19/04/1998;0000;25.8;25;94;1003.4;;;9;
82280;19/04/1998;1200;29.4;27;83;1003.8;;;8;
82280;19/04/1998;1800;29.8;27;81;1000.5;;;8;
82280;20/04/1998;0000;26.8;26;94;1002.5;;;4;
82280;20/04/1998;1200;30;27;79;1003.7;;;5;
82280;20/04/1998;1800;31.8;27.5;72;1000.9;;;8;
82280;21/04/1998;0000;27;25.8;91;1002.3;;;2;
82280;21/04/1998;1200;30.4;26.6;74;1004.7;;;8;
82280;21/04/1998;1800;31.8;27.8;74;1001.9;;;6;
82280;22/04/1998;0000;27;25.7;90;1004.3;;;0;
82280;22/04/1998;1200;30.4;26.8;76;1005.4;;;4;
82280;22/04/1998;1800;31.8;27.8;74;1002.6;;;6;
